floornum,replytime,user,content,liang
1楼,2018-04-23 11:17,MADKING1,看了骑士的比赛 就觉得锡伯杜并不孤独！老汉的耐艹也不是随便说说的！,2605
2楼,2018-04-23 11:17,黄小葵,这次关键时刻 终于有人站出来为老詹分担了，科沃尔连续两个三分球 太厉害了,3818
3楼,2018-04-23 11:17,道阻且临之,差那么一点泰伦卢和乐福就不能呼吸了,360
4楼,2018-04-23 11:17,打酱油de麦,詹科联手，拯救了骑士！老汉：首轮就想让我1:3？不存在的~PS：芬森最后的防守，真是一波骚操作...,377
6楼,2018-04-23 11:17,割双眼皮,以为又是上场G3半场被翻盘的剧本，奈何最后科詹联手毁天灭地，终结了比赛。。,2984
7楼,2018-04-23 11:17,零自然v,泰伦卢：不要把詹姆斯换下场，一轮游后他有的是时间休息。 话说15年绝地七武士的时候，上场时间也大概如此吧。唉,2255
8楼,2018-04-23 11:17,firstin,卢：听说有人不懂我为什么全场就盯着奥迪一个人？你们还是不懂球啊！,15
9楼,2018-04-23 11:17,登等瞪等凳,杰伦最后两个三分一个盖帽，老詹一个跳投一个挑篮，詹科联手，天下我有，合力扳平大比分，太牛逼了！！！卢指导：说出来你们可能不信，我的季后赛秘密武器就是让老詹打满全场。。。,422
10楼,2018-04-23 11:17,gaojue,什么是真正的投手，即使第一节4中0，机会出来依然毫不手软，下半场5中4的三分，这场比赛首功詹姆斯，次功科沃尔奥拉迪波这一场太迷了，最后无数个急停跳投只命中了一个，即使最后命中一个三分也无关大局，各位反苦练代表可以准备开会了,185
12楼,2018-04-23 11:17,蒲宫音,球迷A：奥拉迪波发挥有点差啊，打到现在已经12投10分了。球迷B：什么？已经14投11分了？？你确定是16投11分吗？？,20
13楼,2018-04-23 11:17,只对你说,卢指导的秘密战术只用了46分钟，下场还有进步空间,285
14楼,2018-04-23 11:17,你太善良了,骑兵泰伦卢，奥迪步行车，竞争好激烈！！！,3
15楼,2018-04-23 11:17,长胡哈登,詹科联手，天下我有！！！！！！！！,7
16楼,2018-04-23 11:17,专门开来写,打到最后就看出经验的重要性了：比分胶着的时候，步行者那边只有奥拉迪波敢突敢投，命中率一般的情况下还是得硬来；骑士那边三旬老汉就敢打，科沃尔漂移投篮也是驾轻就熟，分差一下就拉开了。 今年东部就是精彩！！中立球迷喜闻乐见！！！  PS:师弟这真是，皮一下可以，皮几万就是你的不对了,29
17楼,2018-04-23 11:17,今朝看海,回来了，回来了，科沃尔绝命一击，改变走势，挽救骑士啊！,6
18楼,2018-04-23 11:17,助板高手,老实说，现在我看骑士的数据，看的不是勒布朗的得分，是出场时间。,7228
19楼,2018-04-23 11:17,cameloone,有生之年终于看到唠嗑+詹姆斯的最强合体了，关键时刻联手带走比赛,3
20楼,2018-04-23 11:17,soon2599,詹姆斯怒打泰伦卢：36分钟能解决的比赛，硬是打了46分钟！,6
21楼,2018-04-23 11:17,我偏要勉强,卢指导：这场46分钟，詹姆斯相信自己，天空才是你的极限，下一场你还能打48分钟,13
23楼,2018-04-23 11:17,为佳纯来虎扑,能赢詹姆斯的永远不是敌人而是卢指导！感谢卢指导给了老詹2分钟的休息时间，每一分种都像是上天的奖赏。,32
25楼,2018-04-23 11:17,凯文摩尔,詹姆斯出场46分钟，第三节强行五五开，防守漏人，内线被爆，最后赢球靠爸爸们天神下凡……一场开心不起来的胜利……我们打牌，有的人，手握一把数字牌都能靠技巧打到上游，有的人，手握王炸、同花顺都能打成下游。我想同样的阵容，给波波维奇这样的教练轮休都能打到60胜，给一个联盟平均水平的教练最起码55+胜，而某个鱼一般的男子，却可以带成各种连败，刷新各种耻辱记录……最让人绝望的是：它命还挺硬的。————分割线———,17
26楼,2018-04-23 11:17,tc941,感谢步行者今天不杀之恩，感谢科沃尔救命之恩。詹姆斯全场46分钟，别的不说了。,6
27楼,2018-04-23 11:17,878787,,3
28楼,2018-04-23 11:17,紅葉知弦,苦练能量用光了最后才又抠出来一点……,3
29楼,2018-04-23 11:17,多弗拉A梦,科沃尔真大腿，皇帝一如既往的稳定，奥拉迪波除了前两场以外表现都比较烂，看来首轮还有的打；另外谁说卢指导没有战术，对付持球能力的控卫绝对有一套（这都是库日天的功劳txtxtxtx）,2
30楼,2018-04-23 11:17,我干过钟楼,最后时刻张震岳和周杰伦一顿即兴创作，各种freestyle就把比赛拿下了卢指导：你俩还挺懂音乐啊，看什么，6，你和我，走一波。,12
32楼,2018-04-23 11:17,iameasy81,科沃尔那两个三分真是太关键了~,5
33楼,2018-04-23 11:17,rango123,全靠老科沃尔两个救命的大心脏三分,3
34楼,2018-04-23 11:17,死dang经双方,今天詹科合体，神挡杀神佛挡杀佛，天王山请继续加油！！！PS:湿弟真的脏！,3
35楼,2018-04-23 11:17,我叫小肥乐,科沃尔两个关键三分救了卢指导的命呀，詹姆斯连续40+的上场时间也赢得这么艰难。另外奥拉迪波除了第一场打得好，另外几场命中率真的低，末节6投1中太伤了。,3
