floornum,replytime,user,content,liang
1楼,2018-04-22 05:15,胡龍貓,大帝今天躺在地上的时间快比站着多人类躺板精华啊。 。 。,166
2楼,2018-04-22 05:15,饭饭是饭不是菜,大帝防守若铁壁西帝秒传如流星双帝浑身都是胆客场双杀赤焰军,785
5楼,2018-04-22 05:16,东风乱舞,昨天詹姆斯22中10，最后一节12分骑士输2分今天韦德22中10，最后一节12分热火输4分他们依然很强，但未来终究是八九点钟的太阳的...............,2734
6楼,2018-04-22 05:16,张伍飞,大帝这场受到了考验，这也许是成为顶级球星必须经历的过程吧相信过程,11
7楼,2018-04-22 05:16,jootoo8,再也不会首轮出局不然我名字倒着写德韦恩韦德,487
8楼,2018-04-22 05:16,大爱窝瓜,“岁月虽然偷走了我的闪电，但我心中依然万马奔腾。”@Tracy老肥麦 展哥这话说的真棒,540
9楼,2018-04-22 05:16,上个号作死永封了,相信过程！！！西蒙斯再拿三双！也必须赞叹，韦德不老！,11
11楼,2018-04-22 05:16,灯泡最牛,这么多年了，热火最后时刻还是要看韦德啊真的不想看韦德打完今年就此退役，他在热火的魂一直就会在发自虎扑Android客户端,530
12楼,2018-04-22 05:16,我叫小肥乐,韦德末节太厉害了，76人虽然赢了，但是比赛处理有点年轻！发自虎扑Android客户端,16
15楼,2018-04-22 05:16,央视记者报道讲,*河蟹*牛逼，三连胜来一波？发自虎扑Android客户端,1
17楼,2018-04-22 05:16,Zecknol,斯波前两节直接上强度，两场热火主场都是看上去两场热火半场都领先了但是第四节热火两场都崩盘不是偶然现象，过早上强度，第四节体力透支,5
18楼,2018-04-22 05:16,查理二世,今天大帝打的不好，大家随意开御前大会！大帝赛后采访都说自己打的是shit了，屎皇帝没毛病赢下这样一场比赛对于年轻费城是宝贵的经验！相信过程,6
19楼,2018-04-22 05:16,就会abc,韦大爷真厉害！发自虎扑Android客户端,11
20楼,2018-04-22 05:16,挚爱雷迪克,雷迪克关键篮板牛B！！！！！！,74
22楼,2018-04-22 05:16,Alleeen123,半场17个失误险些被半夜喂屎 西帝魔术师后第一个新秀三双 大帝今天进攻便秘但是一波防守撑起了费城的反扑 不管怎样 艰难的胜利会让年轻的费城更加坚韧 GO PHILA！发自虎扑iPhone客户端,83
23楼,2018-04-22 05:16,Beaubois,第四节最后时刻看36岁的韦德一次次得分都感动的快哭了，但感叹的是胜利和未来是属于更年轻的恩比德和西蒙斯的！因为韦德，使得他和他的球队都不是失利者！但遗憾的是篮球比赛胜利只有一方。发自虎扑iPhone客户端,235
24楼,2018-04-22 05:16,月鸦_1848,恩比德证明了，哪怕进攻坑爹无比，只要有防守，他依然是场上的核心还有季后赛之前，一帮喷雷迪克季后赛软脚虾的？？西蒙斯，强无敌！！,12
25楼,2018-04-22 05:16,漩中,三分铁成狗，失误多到炸！多次落后10+客场逆转，熬夜很值！！！发自虎扑Android客户端,5
26楼,2018-04-22 05:16,1080度转体扣篮,恩比德这防守怎么不配dpoy发自虎扑iPhone客户端,1336
27楼,2018-04-22 05:16,76人队教练,76人总冠军！费城见！！！发自虎扑Android客户端,3
28楼,2018-04-22 05:16,Dwadejun,韦德尽力了。输球不怪他。发自虎扑iPhone客户端,13
29楼,2018-04-22 05:16,EdgeJR,韦德尽力了 输了不怪他发自虎扑Android客户端,367
30楼,2018-04-22 05:16,冬泉谷的雪人君,相信过程！zs发自虎扑iPhone客户端,0
31楼,2018-04-22 05:16,虎几扑丿,神奇的赛后，太快了吧发自虎扑Android客户端,0
32楼,2018-04-22 05:16,此身合是闲人未,据说这就是季后赛的“防守”强度？好吧，照样赢给你看！真jb解气！JJ 伊娃 贝里内利的季后赛经验果然太重要了~西帝关键连续关键得分，只留下大帝一人出席弑君大会~发自虎扑Android客户端,9
33楼,2018-04-22 05:16,iggy9520,这样都赢了？？发自虎扑iPhone客户端,1
34楼,2018-04-22 05:16,Mephostoph,西帝元年有人反对吗？！发自虎扑Android客户端,4
35楼,2018-04-22 05:16,腾v惠州张学友,尽管岁月偷走了我的闪电，但我心中依旧万马奔腾发自虎扑iPhone客户端,8
36楼,2018-04-22 05:16,勇士的Ak47丶,今晚熬夜看球 值了发自虎扑iPhone客户端,0
37楼,2018-04-22 05:16,llflzxy,席梦思绝对是未来巨星发自手机虎扑 m.hupu.com,5
39楼,2018-04-22 05:16,霜天67,艰难的一战！,0
40楼,2018-04-22 05:16,最佳第六人科温顿,西蒙斯不是下一个詹姆斯，也不是下一个魔术师。他就是西蒙斯！！发自虎扑Android客户端,3
41楼,2018-04-22 05:16,吃饭睡觉卖宝剑,为76人这只天赋满满又成体系的球队开心。韦德尽力了，罚球如果进了就好了。,3
42楼,2018-04-22 05:16,李嘉格,感谢热火，伴我76人成长发自手机虎扑 m.hupu.com,5
43楼,2018-04-22 05:16,西蒙斯的猫,费城牛逼，我们不想再回到迈阿密发自虎扑iPhone客户端,3
44楼,2018-04-22 05:16,a吕大布,用天赋对抗一切，不管是公平的还是不公平的！！！！发自虎扑Android客户端,1
45楼,2018-04-22 05:16,我登就打杨毅的脸,不服老行不行？发自虎扑Android客户端,0
46楼,2018-04-22 05:16,koobe-bryannt,好久没看这种绞肉机般的比赛了，双方球员奉献了一场真正的季后赛级别比赛。发自虎扑iPhone客户端,5
47楼,2018-04-22 05:16,彡堕落丶朽木,第四节最后韦德凭一己之力打76人全队啊发自虎扑Android客户端,8
48楼,2018-04-22 05:16,ArthurKazh,这场球真的好看，熬夜太值了,1
49楼,2018-04-22 05:16,诶哟喂哦,我看出来了，团战可以输，大帝必须死。说正话，76这些小伙调整适应好快啊……发自虎扑iPhone客户端,6
